"Wijken en buurten","Gemeentenaam","Soort regio","Codering","Indelingswijziging wijken en buurten","Aantal inwoners","Mannen","Vrouwen","0 tot 15 jaar","15 tot 25 jaar","25 tot 45 jaar","45 tot 65 jaar","65 jaar of ouder","Ongehuwd","Gehuwd","Gescheiden","Verweduwd","Westers totaal","Niet-westers totaal","Marokko","Nederlandse Antillen en Aruba","Suriname","Turkije","Overig niet-westers","Geboorte totaal","Geboorte relatief","Sterfte totaal","Sterfte relatief","Huishoudens totaal","Eenpersoonshuishoudens","Huishoudens zonder kinderen","Huishoudens met kinderen","Gemiddelde huishoudensgrootte","Bevolkingsdichtheid","Woningvoorraad","Gemiddelde woningwaarde","Percentage eengezinswoning","Percentage meergezinswoning","Percentage bewoond","Percentage onbewoond","Koopwoningen","Huurwoningen totaal","In bezit woningcorporatie","In bezit overige verhuurders","Eigendom onbekend","Bouwjaar voor 2000","Bouwjaar vanaf 2000","Gemiddeld elektriciteitsverbruik totaal","Appartement","Tussenwoning","Hoekwoning","Twee-onder-��n-kap-woning","Vrijstaande woning","Huurwoning","Koopwoning","Gemiddeld aardgasverbruik totaal","Appartement1","Tussenwoning1","Hoekwoning1","Twee-onder-��n-kap-woning1","Vrijstaande woning1","Huurwoning1","Koopwoning1","Percentage woningen met stadsverwarming","Aantal inkomensontvangers��","Gemiddeld inkomen per inkomensontvanger�","Gemiddeld inkomen per inwoner�","40% personen met laagste inkomen","20% personen met hoogste inkomen","Actieven 15-75 jaar","40% huishoudens met laagste inkomen","20% huishoudens met hoogste inkomen","Huishoudens met een laag inkomen","Huish. onder of rond sociaal minimum","Personen per soort uitkering, Bijstand","Personen per soort uitkering, AO","Personen per soort uitkering, WW","Personen per soort uitkering, AOW","Bedrijfsvestigingen totaal","A Landbouw, bosbouw en visserij","B-F Nijverheid en energie","G+I Handel en horeca","H+J Vervoer, informatie en communicatie","K-L Financi�le diensten, onroerend goed","M-N Zakelijke dienstverlening","R-U Cultuur, recreatie, overige diensten","Personenauto's totaal","Personenauto's, jonger dan 6 jaar","Personenauto's, 6 jaar en ouder","Personenauto's, brandstof benzine","Personenauto's, overige brandstof","Personenauto's per huishouden","Personenauto's naar oppervlakte","Bedrijfsmotorvoertuigen","Motortweewielers","Afstand tot huisartsenpraktijk","Afstand tot grote supermarkt","Afstand tot kinderdagverblijf","Afstand tot school","Scholen binnen 3 km","Oppervlakte totaal","Oppervlakte land","Oppervlakte water","Meest voorkomende postcode","Dekkingspercentage","Mate van stedelijkheid","Omgevingsadressendichtheid"
"Amsterdam","Amsterdam","Gemeente","GM0363",".","821752","404881","416871","127467","106422","288230","202117","97516","519229","203808","73700","25015","134524","285123","74254","12135","66638","42375","89721","11103","13","5453","6","449209","247417","90851","110941","1.8","4954","416966","232","12","88",".",".",".",".",".",".",".","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","42710","36670","21200","95460","106055","105","7500","19155","13565","9405","35475","20850","228690","69525","159165","179960","48730","0.5","1379","23480","18010","0.5","0.5","0.4",".",".","21949","16589","5360",".",".","1","5968"
"Stadsdeel Centrum","Amsterdam","Wijk","WK036300","1","86360","44465","41895","8395","10480","31930","24285","11280","58540","18560","7225","2045","21030","12605","1470","735","2625","835","6945","890","10","585","6","55915","36505","11500","7920","1.5","13754","53937","319","5","95",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2710","3070","2100","10950","23240","10","970","5140","2515","2255","7705","4640","19920","5410","14510","15820","4095","0.4","3172","2000","2375","0.4","0.3","0.3",".",".","804","628","176",".",".","1","8791"
"Burgwallen-Oude Zijde","Amsterdam","Buurt","BU03630000","1","4250","2310","1940","255","730","1975","960","345","3260","630","305","65","1240","605","30","40","80","35","420","40","9","15","3","3075","2200","625","255","1.4","12163","2839","271","5","95",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100","90","100","330","1865","0","40","620","190","180","405","430","705","175","525","560","145","0.2","2010","110","140","0.2","0.3","0.3",".",".","41","35","6","1012","1","1","7554"
"Burgwallen-Nieuwe Zijde","Amsterdam","Buurt","BU03630001","1","4535","2485","2050","250","725","2375","870","320","3590","620","290","45","1350","795","65","60","115","40","515","40","8","20","5","3200","2325","690","195","1.4","7396","3012","279","6","94",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","90","150","120","300","2425","0","55","1090","215","190","495","380","875","325","550","675","200","0.3","1427","120","115","0.4","0.3","0.6",".",".","75","61","14","1012","1","1","9216"
"Grachtengordel-West","Amsterdam","Buurt","BU03630002","1","7060","3745","3310","650","900","2455","1975","1085","4550","1910","450","160","2215","645","15","50","75","45","460","80","11","20","3","4605","2945","1095","570","1.5","14066","4670","498","9","91",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50","110","110","1050","3170","0","80","610","340","420","1235","485","2235","650","1585","1770","465","0.5","4453","150","185","0.3","0.3","0.3",".",".","64","50","14","1016","6","1","10427"
"Grachtengordel-Zuid","Amsterdam","Buurt","BU03630003","1","4400","2340","2055","475","525","1625","1140","645","2835","1170","300","110","1200","440","25","20","50","45","305","45","10","10","2","2800","1780","640","390","1.6","10366","2697","489","14","86",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50","70","60","630","1960","0","65","480","170","300","690","255","1405","455","950","1105","300","0.5","3305","95","130","0.4","0.3","0.3",".",".","52","42","10","1017","1","1","8974"
"Nieuwmarkt/Lastage","Amsterdam","Buurt","BU03630004","1","9530","4975","4555","810","1195","3215","2960","1365","6345","2020","915","260","2405","1235","75","70","265","80","745","70","7","75","8","6330","4165","1300","875","1.5","13410","6033","301","3","97",".",".",".",".",".",".",".","92","8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","300","340","230","1330","2160","0","110","385","255","165","725","520","1950","555","1395","1515","430","0.3","2741","220","250","0.4","0.3","0.3",".",".","108","71","37","1011","1","1","6964"
"Haarlemmerbuurt","Amsterdam","Buurt","BU03630005","1","9290","4675","4615","1125","860","3145","2895","1275","5890","2300","870","235","2065","1465","195","80","365","80","745","100","11","65","6","5630","3405","1205","1030","1.6","17058","5568","307","2","98",".",".",".",".",".",".",".","76","24",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","350","390","230","1260","2190","5","115","410","245","175","780","460","2240","705","1535","1660","580","0.4","4113","245","265","0.4","0.4","0.3",".",".","82","54","27","1013","1","1","7945"
"Jordaan","Amsterdam","Buurt","BU03630006","1","19390","9770","9615","1805","1940","7255","5615","2775","13270","3845","1765","520","4570","2360","285","180","430","180","1285","215","11","150","7","13020","8810","2445","1770","1.5","23195","12934","281","4","96",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","720","800","530","2720","3965","0","235","725","445","310","1295","955","4020","910","3110","3345","675","0.3","4810","415","585","0.3","0.3","0.3",".",".","96","84","12","1015","5","1","11201"
"De Weteringschans","Amsterdam","Buurt","BU03630007","1","7350","3750","3595","775","905","3035","1790","850","5055","1685","475","145","1940","800","40","60","115","70","520","90","12","25","3","4725","3020","1065","645","1.6","13263","4559","359","7","93",".",".",".",".",".",".",".","96","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100","170","160","820","2215","0","80","485","225","275","780","365","1840","470","1370","1480","360","0.4","3324","170","195","0.3","0.3","0.3",".",".","65","55","10","1017","1","1","9355"
"Weesperbuurt/Plantage","Amsterdam","Buurt","BU03630008","1","7600","3895","3700","690","1130","2705","2010","1070","5260","1475","640","235","1765","1140","115","60","280","45","645","70","9","100","13","4845","3305","925","620","1.5","10498","4203","319","3","97",".",".",".",".",".",".",".","96","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","240","270","180","980","1340","0","70","135","160","105","570","295","1625","445","1175","1275","350","0.3","2243","175","135","0.6","0.3","0.3",".",".","86","72","13","1018","1","1","7639"
"Oostelijke Eilanden/Kadijken","Amsterdam","Buurt","BU03630009","1","12945","6500","6445","1575","1585","4155","4080","1555","8505","2920","1235","295","2295","3130","635","125","855","215","1305","135","10","95","7","7670","4565","1525","1585","1.7","12693","7422","254","1","99",".",".",".",".",".",".",".","87","13",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","720","690","360","1520","1955","0","115","205","275","135","730","495","3025","720","2305","2435","590","0.4","2968","305","375","0.5","0.4","0.5",".",".","135","102","33","1018","1","1","6233"
"Stadsdeel Westpoort","Amsterdam","Wijk","WK036301","1","405","285","115","20","40","170","145","35","300","60","45","5","130","70","10","0","20","5","40","0","7","0","4","270","230","25","25","1.3","16","105","185","50","50",".",".",".",".",".",".",".","71","29",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","20","20","10","30","2780","0","425","700","445","385","625","195","3360","2740","620","1505","1855",".",".","2960","125","3.3","2.9","2.7",".",".","3528","2605","924",".",".","4","782"
"Westelijk Havengebied","Amsterdam","Buurt","BU03630110","1","190","125","65","15","20","65","85","20","140","30","25","5","55","15","0","0","5","0","10","0","5","0","5","145","120","10","20","1.3","10","43","186","88","12",".",".",".",".",".",".",".","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10","10","0","20","1245","0","210","290","245","155","265","80","1640","1355","285","745","900",".",".","1535","65","4.4","4.1","3.9",".",".","2847","1947","900","1013","6","4","579"
"Bedrijventerrein Sloterdijk","Amsterdam","Buurt","BU03630111","1","210","155","50","10","25","105","60","15","165","30","20","0","75","60","10","0","20","5","30","0","9","0","4","125","110","15","10","1.2","32","62",".","23","77",".",".",".",".",".",".",".","60","40",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10","10","0","10","1530","0","215","410","200","230","360","115","1720","1385","335","760","955",".",".","1430","60","2.3","1.8","1.7",".",".","682","658","24","1043","6","4","930"
"Stadsdeel West","Amsterdam","Wijk","WK036302","1","142640","70510","72125","19280","17280","61975","31790","12320","99610","28650","11470","2920","25240","43775","14540","1515","6960","8060","12705","2125","14","775","5","84640","50865","17030","16755","1.7","16344","76991","214","1","99",".",".",".",".",".",".",".","94","6",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8280","6150","3850","12120","18405","5","1180","2820","2450","930","6295","4730","29630","6120","23510","23760","5870","0.4","3395","2970","3150","0.3","0.3","0.3",".",".","990","873","117",".",".","1","8973"
"Houthavens","Amsterdam","Buurt","BU03630212","1","1595","725","865","80","705","425","295","95","1305","220","65","15","425","245","20","35","35","15","145","5","3","5","2","1255","1015","175","70","1.3","5247","1041","167","0","100",".",".",".",".",".",".",".","18","82",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","20","20","30","90","240","0","10","20","40","20","110","40","245","65","180","190","60","0.2","812","40","30","0.5","0.7","0.8",".",".","90","30","59","1013","1","1","3193"
"Spaarndammer- en Zeeheldenbuurt","Amsterdam","Buurt","BU03630213","1","10755","5340","5415","1465","1040","4235","2875","1145","7225","2115","1145","280","1770","3375","890","150","915","260","1160","155","14","80","7","6285","3700","1195","1395","1.7","7930","6011","208","0","100",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","920","600","320","1160","1460","0","85","190","240","60","510","370","2235","485","1750","1815","415","0.4","1646","180","230","0.3","0.4","0.4",".",".","140","136","4","1013","1","1","5272"
"Staatsliedenbuurt","Amsterdam","Buurt","BU03630214","1","13050","6510","6535","1650","1150","5805","3405","1050","9340","2435","1055","230","2600","3135","880","120","605","250","1290","175","13","40","3","8020","4935","1580","1510","1.6","27736","7819","221","0","100",".",".",".",".",".",".",".","92","8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","750","580","380","1030","1850","0","110","215","260","60","660","540","2650","535","2115","2200","450","0.3","5631","245","395","0.2","0.4","0.2",".",".","54","47","7","1051","2","1","9057"
"Centrale Markt","Amsterdam","Buurt","BU03630215","1","2535","1240","1295","365","360","675","900","240","1630","610","240","65","435","680","235","25","130","55","240","25","11","10","5","1285","635","235","425","2.0","4856","1197","255","0","100",".",".",".",".",".",".",".","87","13",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","110","120","80","240","460","0","25","135","65","30","135","70","645","235","405","445","200","0.5","1234","370","60","0.7","0.6","0.3",".",".","58","52","6","1051","1","1","8599"
"Frederik Hendrikbuurt","Amsterdam","Buurt","BU03630216","1","8370","4120","4245","900","790","3780","2065","840","5965","1510","705","200","1680","1730","500","90","270","155","720","130","15","90","11","5180","3225","1110","855","1.6","23625","5043","228","0","100",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","470","370","240","830","1160","0","75","140","135","60","430","320","1760","380","1375","1475","285","0.3","4964","135","230","0.3","0.3","0.2",".",".","40","35","5","1052","1","1","11571"
"Da Costabuurt","Amsterdam","Buurt","BU03630217","1","4655","2330","2325","515","480","2065","1105","505","3330","870","370","100","1075","665","140","55","125","50","305","50","10","20","4","2950","1840","630","490","1.6","21485","2635","267","0","100",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","150","170","120","490","815","0","30","180","75","65","230","230","1030","205","825","850","180","0.3","4754","85","135","0.2","0.1","0.2",".",".","26","22","4","1053","3","1","11748"
"Kinkerbuurt","Amsterdam","Buurt","BU03630218","1","6195","3295","2895","610","735","2940","1480","440","4650","930","535","90","1140","1595","440","85","355","200","520","80","13","35","5","4240","2955","730","565","1.5","24564","3407","214","2","98",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","350","250","160","430","945","0","60","205","90","45","295","250","1090","220","870","890","200","0.3","4330","115","155","0.3","0.2","0.2",".",".","27","25","2","1053","1","1","11851"
"Van Lennepbuurt","Amsterdam","Buurt","BU03630219","1","7130","3510","3620","730","770","2970","1840","820","4990","1300","660","190","1340","2095","645","60","430","240","730","90","13","50","7","4620","3075","830","720","1.5","28599","4452","211","0","100",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","490","390","200","800","910","0","60","195","110","45","275","225","1300","260","1040","1055","245","0.3","5218","130","145","0.2","0.2","0.3",".",".","28","25","3","1053","1","1","10731"
"Helmersbuurt","Amsterdam","Buurt","BU03630220","1","7520","3585","3930","1035","835","3115","1850","695","5400","1500","515","105","1750","905","110","70","185","70","470","100","13","30","4","4565","2815","925","835","1.6","22565","4204","310","1","99",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","190","240","180","680","1450","0","70","215","175","120","505","370","1750","395","1355","1395","355","0.4","5257","155","190","0.2","0.2","0.2",".",".","35","33","2","1054","1","1","10082"
"Overtoomse Sluis","Amsterdam","Buurt","BU03630221","1","7740","3755","3985","930","760","3780","1690","590","5715","1405","500","125","1770","945","120","70","170","85","500","130","16","20","2","4745","2890","1050","815","1.6","25488","4387","268","1","99",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","180","340","210","580","1285","0","60","185","160","85","485","305","1670","350","1320","1365","310","0.4","5503","115","195","0.5","0.3","0.2",".",".","32","30","1","1054","1","1","9144"
"Vondelbuurt","Amsterdam","Buurt","BU03630222","1","1895","955","940","270","205","600","505","320","1205","475","160","65","545","265","40","15","55","5","150","20","10","25","14","1095","680","210","215","1.7","8538","903","591","11","89",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","40","40","20","320","530","0","10","105","45","80","195","90","545","145","395","425","115","0.5","2446","45","55","0.4","0.3","0.2",".",".","23","22","0","1054","1","1","9466"
"Sloterdijk","Amsterdam","Buurt","BU03630236","1","395","220","175","25","40","275","40","25","305","75","20","5","85","40","5","0","10","0","25","5","17","0","5","240","115","105","25","1.7","806","220","286","16","84",".",".",".",".",".",".",".","18","82",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","0","10","20","70","0","5","10","10","10","30","5","125","40","85","105","20","0.5","250","20","15","0.9","0.4","0.4",".",".","51","50","2","1014","1","1","3617"
"Landlust","Amsterdam","Buurt","BU03630237","1","18735","9330","9400","3030","2475","8075","3735","1420","12470","4410","1480","380","2610","8540","3540","180","975","2045","1805","285","15","60","3","10220","5630","2105","2495","1.8","18420","9272","165","1","99",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1390","920","520","1380","1995","0","155","295","320","60","670","490","3945","725","3220","3025","920","0.4","3879","400","310","0.4","0.4","0.3",".",".","107","102","6","1055","2","1","6860"
"Erasmuspark","Amsterdam","Buurt","BU03630238","1","5895","2855","3040","830","735","2930","990","420","4205","1230","365","110","1010","1760","610","50","170","510","415","105","18","15","2","3385","1875","840","685","1.7","16276","3050","171","0","100",".",".",".",".",".",".",".","92","8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","230","190","160","410","630","0","55","90","80","20","190","195","1270","260","1010","1040","235","0.4","3511","85","140","0.2","0.4","0.5",".",".","41","36","5","1055","3","1","7750"
"De Kolenkit","Amsterdam","Buurt","BU03630239","1","9215","4480","4730","1770","1770","3365","1580","740","5840","2470","670","245","910","5895","2650","105","590","1700","860","140","15","80","8","4425","2300","795","1340","2.0","12656","4248","166","3","97",".",".",".",".",".",".",".","65","35",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","740","500","210","730","470","0","35","70","100","20","130","110","1800","340","1465","1325","480","0.4","2474","205","100","0.4","0.5","0.5",".",".","75","73","2","1061","3","1","5780"
"De Krommert","Amsterdam","Buurt","BU03630240","1","12980","6230","6750","1865","1665","5865","2560","1035","9240","2610","895","250","2225","3590","1170","120","540","725","1035","215","16","55","4","7470","4240","1605","1635","1.7","24496","6585","210","1","99",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","660","440","350","1010","1660","0","100","200","205","65","610","485","2720","530","2190","2230","485","0.4","5129","200","315","0.4","0.3","0.2",".",".","57","53","4","1056","5","1","11245"
