"Wijken en buurten","Gemeentenaam","Soort regio","Codering","Indelingswijziging wijken en buurten","Aantal inwoners","Mannen","Vrouwen","0 tot 15 jaar","15 tot 25 jaar","25 tot 45 jaar","45 tot 65 jaar","65 jaar of ouder","Ongehuwd","Gehuwd","Gescheiden","Verweduwd","Westers totaal","Niet-westers totaal","Marokko","Nederlandse Antillen en Aruba","Suriname","Turkije","Overig niet-westers","Geboorte totaal","Geboorte relatief","Sterfte totaal","Sterfte relatief","Huishoudens totaal","Eenpersoonshuishoudens","Huishoudens zonder kinderen","Huishoudens met kinderen","Gemiddelde huishoudensgrootte","Bevolkingsdichtheid","Woningvoorraad","Gemiddelde woningwaarde","Percentage eengezinswoning","Percentage meergezinswoning","Percentage bewoond","Percentage onbewoond","Koopwoningen","Huurwoningen totaal","In bezit woningcorporatie","In bezit overige verhuurders","Eigendom onbekend","Bouwjaar voor 2000","Bouwjaar vanaf 2000","Gemiddeld elektriciteitsverbruik totaal","Appartement","Tussenwoning","Hoekwoning","Twee-onder-��n-kap-woning","Vrijstaande woning","Huurwoning","Koopwoning","Gemiddeld aardgasverbruik totaal","Appartement1","Tussenwoning1","Hoekwoning1","Twee-onder-��n-kap-woning1","Vrijstaande woning1","Huurwoning1","Koopwoning1","Percentage woningen met stadsverwarming","Aantal inkomensontvangers��","Gemiddeld inkomen per inkomensontvanger�","Gemiddeld inkomen per inwoner�","40% personen met laagste inkomen","20% personen met hoogste inkomen","Actieven 15-75 jaar","40% huishoudens met laagste inkomen","20% huishoudens met hoogste inkomen","Huishoudens met een laag inkomen","Huish. onder of rond sociaal minimum","Personen per soort uitkering, Bijstand","Personen per soort uitkering, AO","Personen per soort uitkering, WW","Personen per soort uitkering, AOW","Bedrijfsvestigingen totaal","A Landbouw, bosbouw en visserij","B-F Nijverheid en energie","G+I Handel en horeca","H+J Vervoer, informatie en communicatie","K-L Financi�le diensten, onroerend goed","M-N Zakelijke dienstverlening","R-U Cultuur, recreatie, overige diensten","Personenauto's totaal","Personenauto's, jonger dan 6 jaar","Personenauto's, 6 jaar en ouder","Personenauto's, brandstof benzine","Personenauto's, overige brandstof","Personenauto's per huishouden","Personenauto's naar oppervlakte","Bedrijfsmotorvoertuigen","Motortweewielers","Afstand tot huisartsenpraktijk","Afstand tot grote supermarkt","Afstand tot kinderdagverblijf","Afstand tot school","Scholen binnen 3 km","Oppervlakte totaal","Oppervlakte land","Oppervlakte water","Meest voorkomende postcode","Dekkingspercentage","Mate van stedelijkheid","Omgevingsadressendichtheid"
"Weesperzijde","Amsterdam","Buurt","BU03630527","1","4980","2530","2450","640","530","2245","1155","410","3600","1010","315","70","975","865","210","50","180","60","370","75","15","20","3","2995","1800","660","545","1.7","13422","2709","275","1","99",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","170","150","140","400","885","0","35","95","115","55","360","220","1160","255","900","945","210","0.4","3120","80","110","0.4","0.4","0.2",".",".","45","37","7","1091","1","1","9241"
"Oosterparkbuurt","Amsterdam","Buurt","BU03630528","1","10790","5400","5385","1360","1465","4165","2785","1020","7485","2115","965","235","1735","3800","1100","110","910","555","1130","125","11","50","4","6365","3845","1245","1285","1.7","15027","6113","210","1","99",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","740","530","290","990","1320","0","80","200","200","45","425","370","1980","355","1620","1590","390","0.3","2755","185","210","0.2","0.3","0.2",".",".","75","72","3","1091","4","1","8066"
"Dapperbuurt","Amsterdam","Buurt","BU03630529","1","8935","4425","4510","1085","1130","3300","2390","1030","5890","1905","890","260","1295","3535","1115","115","800","675","830","105","11","55","6","5230","3145","1035","1055","1.7","15120","4882","205","1","99",".",".",".",".",".",".",".","91","9",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","670","570","230","1010","1050","0","40","275","140","35","300","260","1670","335","1335","1330","340","0.3","2826","155","165","0.3","0.3","0.2",".",".","61","59","2","1093","1","1","8360"
"Transvaalbuurt","Amsterdam","Buurt","BU03630530","1","9105","4495","4610","1335","1405","3355","2200","825","6085","1935","885","215","1255","4160","1605","100","870","675","915","110","12","50","5","4985","2800","935","1250","1.8","24688","4522","198","2","98",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","770","490","260","800","790","0","50","105","120","25","245","250","1615","255","1360","1270","350","0.3","4380","135","130","0.4","0.3","0.3",".",".","38","37","1","1092","5","1","7503"
"Indische Buurt West","Amsterdam","Buurt","BU03630531","1","12655","6390","6265","1805","1710","5525","2650","970","8590","2810","1030","230","1925","6000","2380","140","1020","1025","1440","210","16","35","3","7115","4105","1450","1565","1.8","26786","6666","177","0","100",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","930","700","350","940","1245","0","85","195","190","30","385","360","2260","380","1885","1770","495","0.3","4788","220","190","0.3","0.3","0.3",".",".","49","47","1","1094","1","1","7953"
"Indische Buurt Oost","Amsterdam","Buurt","BU03630532","1","10150","5060","5085","1630","1295","3585","2505","1140","6240","2595","965","360","1160","5415","2090","125","940","1120","1140","115","11","100","10","5300","2890","1000","1420","1.9","10883","5103","182","1","99",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","850","540","230","1100","760","0","75","110","130","10","255","180","1940","350","1590","1475","465","0.4","2080","155","140","0.3","0.4","0.4",".",".","131","93","38","1095","1","1","6205"
"Oostelijk Havengebied","Amsterdam","Buurt","BU03630533","1","18355","9235","9120","3365","1680","5925","6130","1265","11760","4835","1505","260","3240","3860","795","165","1070","440","1395","250","13","55","2","9035","3855","2260","2925","2.0","12141","8603","315","9","91",".",".",".",".",".",".",".","67","33",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","530","650","490","1250","3260","0","180","325","455","265","1370","665","5410","1645","3765","4205","1205","0.6","3577","520","585","0.5","0.8","0.5",".",".","366","151","215","1019","1","1","4202"
"Zeeburgereiland/Nieuwe Diep","Amsterdam","Buurt","BU03630534","1","975","495","475","75","510","285","90","25","880","75","25","5","225","195","10","35","40","0","115","5","6","0","1","765","645","70","55","1.3","403","569","121","7","93",".",".",".",".",".",".",".","2","98",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10","10","10","30","115","0","15","25","15","5","25","40","150","30","120","105","45","0.2","62","60","25","2.1","2.0","1.2",".",".","338","242","95","1095","1","4","537"
"IJburg West","Amsterdam","Buurt","BU03630535","1","14235","7045","7190","4480","1325","4780","3130","520","9320","3895","905","125","1950","4940","1305","215","1470","440","1515","170","12","15","1","5460","1700","925","2845","2.6","12355","5373","319","30","70",".",".",".",".",".",".",".","0","100",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","390","480","310","510","1695","0","80","200","240","160","795","225","3900","1115","2785","2925","975","0.7","3383","175","370","0.5","0.6","0.3",".",".","131","115","15","1087","3","2","1511"
"IJburg Zuid","Amsterdam","Buurt","BU03630551","1","6750","3230","3520","2120","575","2720","1120","225","4555","1700","455","50","940","2675","760","85","670","320","840","110","16","5","1","2660","890","445","1330","2.5","7815","2606","293","19","81",".",".",".",".",".",".",".","0","100",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","260","180","230","635","0","25","80","105","60","260","110","1795","535","1260","1340","455","0.7","2076","60","130","0.5","0.5","0.2",".",".","113","86","26","1087","1","3","1321"
"Frankendael","Amsterdam","Buurt","BU03630555","1","10415","5075","5340","1335","1700","3460","2430","1500","6810","2330","870","410","1695","2480","710","150","555","230","845","125","12","110","10","6155","3720","1230","1215","1.7","6418","5798","206","15","85",".",".",".",".",".",".",".","89","11",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","500","490","210","1480","1080","0","70","135","165","170","350","190","2850","885","1965","2045","805","0.5","1755","275","390","0.4","0.6","0.4",".",".","171","162","8","1097","1","1","4907"
"Middenmeer","Amsterdam","Buurt","BU03630556","1","15200","7195","8000","2715","2860","4385","3660","1585","9875","3995","915","420","2945","1925","325","115","390","155","940","205","13","60","3","7905","3995","1700","2220","1.9","5405","7353","274","6","94",".",".",".",".",".",".",".","68","32",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","160","390","300","1550","1825","0","90","205","225","155","765","385","4100","1135","2965","3360","745","0.5","1458","240","295","0.5","0.5","0.3",".",".","303","281","21","1098","1","1","4787"
"Betondorp","Amsterdam","Buurt","BU03630557","1","3175","1505","1670","375","230","865","920","790","1660","850","475","205","380","775","190","30","235","50","275","30","9","25","8","1965","1170","420","385","1.6","2939","1950","172","31","69",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","210","80","770","240","0","30","35","30","10","65","65","1030","235","790","910","115","0.5","951","80","75","0.3","1.0","0.3",".",".","112","108","4","1097","1","1","2601"
"De Omval","Amsterdam","Buurt","BU03630558","1","2855","1420","1430","165","1095","1085","380","140","2355","345","140","25","485","530","55","100","115","45","220","35","11","5","2","2125","1680","315","140","1.3","1021","1694","156","2","98",".",".",".",".",".",".",".","23","77",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","30","140","30","140","620","0","45","95","115","85","205","70","1330","895","435","790","540","0.6","475","325","90","1.6","0.7","0.9",".",".","316","280","36","1096","1","1","2589"
"IJburg Oost","Amsterdam","Buurt","BU03630574","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","0","0","0","0",".",".","0","0",".",".",".",".",".","5","5","0",".",".",".","."
"Stadsdeel Noord","Amsterdam","Wijk","WK036306","1","91285","44450","46830","16630","11250","25355","23895","14160","49810","28015","9060","4405","9855","34600","9100","1215","7090","5975","11225","1220","13","800","8","43715","19575","9480","14670","2.1","2166","41557","176","34","66",".",".",".",".",".",".",".","90","10",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5760","5210","2460","13870","7885","40","1095","1385","1195","425","2245","1500","28765","7850","20915","23480","5285","0.7","683","3265","2475","0.6","0.8","0.7",".",".","4898","4214","685",".",".","2","2389"
"Volewijck","Amsterdam","Buurt","BU03630660","1","9670","4790","4880","1615","1205","3165","2555","1135","5865","2345","1080","390","1050","3810","1165","140","730","515","1265","130","13","65","7","5115","2665","965","1495","1.9","8107","4836","131","24","76",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","960","650","290","1110","795","0","100","125","115","10","215","225","2445","460","1985","2040","410","0.5","2051","210","170","0.3","0.5","0.4",".",".","131","119","12","1031","5","1","2713"
"Ijplein/Vogelbuurt","Amsterdam","Buurt","BU03630661","1","8215","4180","4035","1350","1000","2850","2170","855","5100","1990","885","250","1030","3830","1235","150","755","405","1290","125","15","45","5","4390","2415","790","1190","1.9","6996","4071","157","8","92",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","790","600","240","840","705","0","70","105","100","25","195","210","1930","325","1605","1565","365","0.4","1644","185","180","0.4","0.4","0.4",".",".","147","117","29","1021","2","1","2667"
"Tuindorp Nieuwendam","Amsterdam","Buurt","BU03630662","1","3495","1625","1870","475","315","785","1060","865","1630","1165","455","255","385","420","85","20","120","30","170","35","10","40","11","1855","845","480","540","1.9","8156","1843","176","90","10",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","160","240","90","850","260","0","35","55","35","5","70","60","1290","305","980","1155","135","0.7","3006","110","145","0.4","0.9","0.3",".",".","47","43","4","1023","1","1","2813"
"Tuindorp Buiksloot","Amsterdam","Buurt","BU03630663","1","1850","885","960","260","215","430","605","350","895","625","220","120","180","320","65","15","95","30","115","20","10","30","17","935","385","250","310","2.0","11117","903","168","87","13",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","120","160","60","340","95","0","20","15","10","0","30","20","615","165","450","540","75","0.7","3696","40","85","0.8","1.0","1.0",".",".","17","17","0","1025","1","2","2474"
"Nieuwendammerdijk/Buiksloterdijk","Amsterdam","Buurt","BU03630664","1","1700","835","865","420","145","340","560","245","980","600","85","50","265","70","10","10","5","5","45","20","11","10","5","655","170","185","305","2.6","4503","635","385","85","15",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10","30","30","240","305","0","20","25","35","35","125","60","635","140","495","495","140","1.0","1679","60","65","0.8","1.2","0.6",".",".","45","38","8","1025","4","2","2448"
"Tuindorp Oostzaan","Amsterdam","Buurt","BU03630665","1","10870","5250","5620","1850","1090","2890","3125","1920","5560","3540","1160","620","1055","2670","670","110","665","355","875","130","11","100","9","5190","2215","1200","1785","2.1","6583","5011","170","71","29",".",".",".",".",".",".",".","89","11",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","550","830","320","1890","610","0","135","95","105","20","135","120","3655","995","2660","3150","500","0.7","2212","280","355","0.6","0.9","0.7",".",".","173","165","8","1033","1","2","2007"
"Oostzanerwerf","Amsterdam","Buurt","BU03630666","1","8740","4245","4490","1555","1160","2140","2665","1230","4520","3025","785","420","910","2520","550","85","660","485","745","100","11","60","7","3925","1450","920","1565","2.2","3552","3689","191","42","58",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","340","470","240","1200","550","0","110","80","80","30","155","90","3170","945","2225","2660","510","0.8","1289","330","460","0.8","0.6","0.6",".",".","324","246","78","1035","3","2","1970"
"Kadoelen","Amsterdam","Buurt","BU03630667","1","2840","1360","1480","470","300","620","950","505","1345","1190","190","120","315","390","75","20","105","50","140","30","11","15","5","1245","350","400","500","2.3","2109","1161","266","84","16",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50","150","70","490","285","0","55","35","45","25","85","45","1180","370","810","975","205","0.9","875","125","170","1.3","1.3","1.2",".",".","151","135","17","1035","1","2","1647"
"Nieuwendam-Noord","Amsterdam","Buurt","BU03630668","1","13050","6270","6780","2940","1735","3935","2800","1645","7305","3905","1330","520","1250","7705","2220","210","1410","1650","2215","220","16","80","6","5820","2455","1065","2315","2.2","6980","5357","159","13","87",".",".",".",".",".",".",".","87","13",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","970","610","360","1610","585","0","95","100","130","25","150","90","3585","845","2740","2835","750","0.6","1917","210","165","0.5","0.5","0.5",".",".","197","187","10","1024","1","1","2547"
"Buikslotermeer","Amsterdam","Buurt","BU03630669","1","13175","6310","6860","2325","1760","3535","2910","2650","7140","3845","1325","875","1610","5535","1110","225","1155","920","2130","155","11","185","14","6490","3180","1405","1915","2.0","4039","6435","163","14","86",".",".",".",".",".",".",".","90","10",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","800","580","310","2590","875","0","80","210","125","55","245","165","3690","1000","2690","3090","600","0.6","1131","245","240","0.7","0.9","0.4",".",".","345","326","18","1025","1","1","2769"
"Banne Buiksloot","Amsterdam","Buurt","BU03630670","1","13840","6670","7165","2825","1725","3720","3365","2210","7305","4505","1345","695","1380","6945","1890","195","1300","1495","2060","205","14","140","10","6135","2595","1280","2270","2.2","8353","5853","168","17","83",".",".",".",".",".",".",".","86","14",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","950","790","400","2170","575","0","95","90","120","25","145","105","3960","980","2980","3230","730","0.6","2391","260","215","0.6","0.9","1.0",".",".","183","166","17","1034","1","2","2322"
"Buiksloterham","Amsterdam","Buurt","BU03630671","1","1515","825","690","175","345","535","345","125","1045","375","90","20","215","275","25","30","70","30","125","25","17","5","3","950","580","235","145","1.6","618","868","221","1","99",".",".",".",".",".",".",".","4","96",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","40","40","20","130","1350","0","185","295","185","90","435","155","1255","785","470","755","495","1.3","510","820","70","0.9","0.9","0.8",".",".","387","246","141","1033","6","2","2203"
"Nieuwendammerham","Amsterdam","Buurt","BU03630672","1","140","80","55","15","30","45","30","20","95","35","15","5","30","25","5","0","10","5","15","0","0","0","0","80","45","30","15","1.7","210","67","212","22","78",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","0","0","20","505","0","55","115","75","35","145","80","280","180","100","125","155",".",".","200","10","0.7","0.3","0.3",".",".","117","67","50","1021","4","2","2258"
"Waterland","Amsterdam","Buurt","BU03630673","1","2160","1100","1060","375","230","380","765","425","1050","905","125","95","195","100","0","10","25","10","55","15","6","10","5","900","250","305","350","2.4","92","828","441","87","13",".",".",".",".",".",".",".","83","17",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","20","70","30","420","385","35","40","45","35","40","110","75","1075","350","725","855","220","1.2","46","195","140","2.4","2.2","1.8",".",".","2635","2342","293","1023","6","5","236"
"Stadsdeel Zuidoost","Amsterdam","Wijk","WK036307","1","84455","41620","42835","15265","12495","24175","23590","8940","53620","17385","11220","2245","8130","54015","1745","4485","26015","895","20875","1050","12","510","6","43445","22495","6905","14050","1.9","4163","38643","141","24","76",".",".",".",".",".",".",".","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6970","4320","3050","8760","5450","10","540","1305","775","475","1525","820","25200","8505","16690","20175","5025","0.6","1242","2125","1185","0.7","0.9","0.5",".",".","2211","2029","182",".",".","1","2598"
"Amstel III/Bullewijk","Amsterdam","Buurt","BU03630792","1","275","190","85","20","55","150","45","10","215","55","10","5","90","130","15","10","25","5","80","0","3","0","0","150","135","15","10","1.2","55","15",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","10","0","10","1485","0","110","420","175","305","380","90","3785","3485","300","2280","1510",".",".","950","20","1.6","1.8","0.9",".",".","533","504","29","1101","2","3","1178"
"Bijlmer-Centrum (D, F, H)","Amsterdam","Buurt","BU03630793","1","23130","11645","11485","4330","4200","7340","5825","1445","16250","3490","3010","390","2215","17070","620","1425","7625","415","6985","325","14","105","4","12490","7110","1660","3730","1.8","7607","10875","123","8","92",".",".",".",".",".",".",".","80","20",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2320","1100","830","1400","1210","0","100","335","160","50","305","255","4775","995","3785","3820","955","0.4","1571","260","230","0.6","1.0","0.5",".",".","313","304","9","1102","1","1","2907"
"Bijlmer-Oost (E, G, K)","Amsterdam","Buurt","BU03630794","1","26755","13315","13440","4960","3850","7630","7410","2905","16990","5270","3835","665","2425","18575","525","1565","8765","245","7475","365","13","170","6","13935","7445","2090","4405","1.9","7103","11958","144","30","70",".",".",".",".",".",".",".","80","20",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2390","1230","1030","2850","1250","0","135","260","195","50","390","215","6575","1335","5240","5415","1165","0.5","1746","370","305","0.6","0.8","0.5",".",".","407","377","31","1103","5","1","3010"
"Nellestein","Amsterdam","Buurt","BU03630795","1","3000","1545","1455","395","250","915","840","610","1740","710","395","170","535","905","20","85","405","20","375","25","8","40","12","1735","995","395","355","1.7","1371","1680","131","1","99",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","60","120","110","600","215","0","25","30","35","15","75","30","1085","310","775","945","140","0.6","495","50","90","1.0","1.5","0.5",".",".","297","219","78","1108","1","2","1889"
"Holendrecht/Reigersbos","Amsterdam","Buurt","BU03630796","1","18250","8550","9700","3385","2480","4715","5145","2530","11125","4015","2465","655","1545","11275","365","955","6070","150","3740","200","11","115","6","9010","4305","1505","3210","2.0","7030","8355","143","27","73",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1490","1100","640","2490","685","0","65","155","100","20","200","145","4660","1135","3520","4025","635","0.5","1795","235","235","0.8","0.8","0.7",".",".","269","260","9","1106","4","2","2479"
"Gein","Amsterdam","Buurt","BU03630797","1","11550","5655","5895","1915","1485","3115","3845","1200","6610","3245","1405","300","1200","5950","190","430","3070","60","2210","120","10","75","6","5490","2350","1060","2085","2.1","6252","5134","161","42","58",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","680","700","410","1170","490","0","70","80","105","20","140","70","3640","1030","2610","3100","540","0.7","1969","180","250","0.7","0.8","0.7",".",".","191","185","7","1106","5","2","2078"
"Driemond","Amsterdam","Buurt","BU03630798","1","1485","715","770","265","175","320","485","250","700","615","115","70","130","120","20","20","60","5","20","10","7","5","4","625","175","195","265","2.4","826","626","224","85","15",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","20","50","40","240","120","5","30","20","5","10","30","15","675","220","455","595","80","1.1","374","80","60","2.6","0.5","0.3",".",".","201","180","21","1109","1","5","413"
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 9-8-2016"
